"Plot","SC","storrie_rdnbr","chips_rdnbr","dom"
"1.1.1","un/un",198,207,"ABCO"
"1.1.2","un/un",0,0,"PSME"
"1.1.3","un/un",0,0,"ABCO"
"1.1.4","un/un",0,0,"SYMO"
"1.2.1","un/low",59,56,"RIRO"
"1.2.3","un/low",190,50,"QUKE"
"1.2.4","un/low",685,437,"CECO"
"1.2.5","un/low",168,332,"CEIN"
"1.2.6","un/low",109,92,"SYMO"
"1.3.1","un/mod",110,250,"CEIN"
"1.3.2","un/mod",68,577,"CEIN"
"1.3.3","un/mod",207,137,"CEIN"
"1.3.4","un/mod",-103,600,"CEIN"
"1.3.5","un/mod",-2,509,"CEIN"
"1.3.6","un/mod",21,581,"CEIN"
"1.4.1","un/high",-84,954,"CEIN"
"1.4.2","un/high",49,789,"CEIN"
"1.4.3","un/high",23,1055,"CEIN"
"1.4.4","un/high",2,869,"CEIN"
"1.4.5","un/high",40,1014,"CEIN"
"1.4.6","un/high",-106,875,"CEIN"
"2.1.1","low/un",399,77,"CEPR"
"2.1.2","low/un",130,433,"CEIN"
"2.1.3","low/un",333,65,"SYMO"
"2.1.4","low/un",164,200,"ABCO"
"2.1.5","low/un",152,39,"CEIN"
"2.1.6","low/un",285,121,"CEIN"
"2.2.1","low/low",50,101,"QUKE"
"2.2.2","low/low",37,121,"QUKE"
"2.2.3","low/low",227,36,"CEPR"
"2.2.4","low/low",130,272,"QUKE"
"2.2.5","low/low",335,175,"CEIN"
"2.2.6","low/low",148,108,"QUKE"
"2.3.1","low/mod",286,339,"QUKE"
"2.3.2","low/mod",392,167,"QUKE"
"2.3.4","low/mod",413,187,"CEIN"
"2.3.5","low/mod",555,301,"CECO"
"2.3.6","low/mod",513,614,"CECO"
"2.4.1","low/high",572,672,"CECO"
"2.4.2","low/high",481,719,"CEIN"
"2.4.3","low/high",354,725,"CEIN"
"2.4.4","low/high",597,614,"RIRO"
"2.4.5","low/high",229,680,"CECO"
"2.4.6","low/high",338,751,"CEIN"
"3.1.1","mod/un",250,53,"PIPO"
"3.1.2","mod/un",709,88,"CEIN"
"3.1.3","mod/un",493,-96,"ABCO"
"3.1.4","mod/un",728,0,"CEIN"
"3.1.5","mod/un",383,97,"ARPA"
"3.1.6","mod/un",565,50,"CECO"
"3.2.1","mod/low",434,182,"CEIN"
"3.2.2","mod/low",144,389,"CEIN"
"3.2.3","mod/low",144,389,"CEIN"
"3.2.4","mod/low",404,179,"ABCO"
"3.2.5","mod/low",538,867,"CECO"
"3.2.6","mod/low",547,561,"CECO"
"3.3.2","mod/mod",576,452,"CEIN"
"3.3.3","mod/mod",576,452,"CEIN"
"3.3.4","mod/mod",628,400,"CEIN"
"3.3.5","mod/mod",783,654,"CEIN"
"3.3.6","mod/mod",828,556,"CEIN"
"3.4.1","mod/high",591,764,"CECO"
"3.4.2","mod/high",691,673,"CEIN"
"3.4.3","mod/high",312,630,"CEIN"
"3.4.4","mod/high",861,819,"CECO"
"3.4.5","mod/high",685,694,"CECO"
"3.4.6","mod/high",1000,670,"CEIN"
"4.1.1","high/un",1220,-140,"CECO"
"4.1.2","high/un",731,20,"CECO"
"4.1.3","high/un",698,-43,"CECO"
"4.1.4","high/un",1016,-453,"CEVE"
"4.1.5","high/un",737,0,"CEIN"
"4.1.6","high/un",883,0,"CEIN"
"4.2.1","high/low",802,501,"CEIN"
"4.2.2","high/low",881,-162,"CEIN"
"4.2.3","high/low",716,475,"CECO"
"4.2.4","high/low",823,590,"CEIN"
"4.2.5","high/low",1064,676,"CECO"
"4.2.6","high/low",793,472,"CEIN"
"4.3.1","high/mod",1001,605,"CECO"
"4.3.2","high/mod",485,819,"CECO"
"4.3.3","high/mod",747,640,"CEIN"
"4.3.4","high/mod",707,442,"CEIN"
"4.3.5","high/mod",1048,810,"CEIN"
"4.3.6","high/mod",897,706,"CEIN"
"4.4.1","high/high",1037,891,"CECO"
"4.4.2","high/high",1097,810,"CECO"
"4.4.3","high/high",892,726,"CECO"
"4.4.4","high/high",756,662,"CEVE"
"4.4.5","high/high",757,819,"CECO"
"4.4.6","high/high",870,597,"CECO"
